postag,AFutPart,APastPart,APresPart,Adj,Adv,Card,Conj,DemonsP,Det,Distrib,Dup,Interj,NFutPart,NInf,NPastPart,Noun,Num,Ord,PersP,Postp,Pron,Prop,Punc,Ques,QuesP,Range,Real,ReflexP,Verb,Zero,Total,Precision
AFutPart,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0.8
APastPart,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.9333333333333333
APresPart,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.0
Adj,0,0,0,171,9,0,0,0,4,0,0,0,0,0,0,16,0,0,0,4,1,1,0,0,0,0,0,0,5,2,213,0.8028169014084507
Adv,0,0,0,1,152,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,159,0.9559748427672956
Card,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.9375
Conj,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0.9848484848484849
DemonsP,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.7857142857142857
Det,0,0,0,3,4,5,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0.9411764705882353
Distrib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Dup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Interj,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0
NFutPart,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0
NInf,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.9387755102040817
NPastPart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.0
Noun,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,592,0,0,0,0,0,2,0,0,0,0,0,0,1,0,605,0.9785123966942149
Num,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Ord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
PersP,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,41,0.8780487804878049
Postp,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,66,0,0,0,0,0,0,0,0,0,0,78,0.8461538461538461
Pron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,9,0.8888888888888888
Prop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,1.0
Punc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,530,1.0
Ques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0
QuesP,0,0,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,0.3125
Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Real,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
ReflexP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,1.0
Verb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,138,17,157,0.8789808917197452
Zero,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,20,0.5
Total,4,14,50,194,180,20,132,15,202,0,0,2,3,47,9,619,0,1,36,72,13,17,530,1,5,0,0,7,145,31,2349.0
Recall,1.0,1.0,1.0,0.8814432989690721,0.8444444444444444,0.75,0.9848484848484849,0.7333333333333333,0.9504950495049505,No Data,No Data,1.0,1.0,0.9787234042553191,0.8888888888888888,0.9563812600969306,No Data,1.0,1.0,0.9166666666666666,0.6153846153846154,0.8235294117647058,1.0,1.0,1.0,No Data,No Data,1.0,0.9517241379310345,0.3225806451612903
Overall Accuracy,0.9391230310770541
