cpostag,Adj,Adv,Conj,Det,Dup,Interj,Noun,Num,Postp,Pron,Punc,Ques,Verb,Zero,Total,Precision
Adj,253,10,0,4,0,0,47,0,2,1,0,0,12,0,329,0.7689969604863222
Adv,3,152,0,3,0,0,1,0,2,0,0,0,0,0,161,0.9440993788819876
Conj,0,0,129,0,0,0,2,0,0,0,0,0,0,0,131,0.9847328244274809
Det,3,4,0,191,0,0,0,5,0,0,0,0,0,0,203,0.9408866995073891
Dup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Interj,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1.0
Noun,117,30,0,0,0,0,1423,12,1,5,0,0,51,0,1639,0.8682123245881636
Num,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,1.0
Postp,2,8,0,0,0,0,5,0,68,0,0,0,0,0,83,0.8192771084337349
Pron,2,7,3,4,0,0,2,0,0,72,0,0,0,0,90,0.8
Punc,1,2,0,0,0,0,9,0,0,0,530,0,1,0,543,0.9760589318600368
Ques,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0
Verb,8,11,0,0,0,0,53,0,0,0,0,0,340,0,412,0.8252427184466019
Zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Total,389,224,132,202,0,2,1542,33,73,78,530,1,404,0,3610
Recall,0.6503856041131105,0.6785714285714286,0.9772727272727273,0.9455445544554455,No Data,1.0,0.9228274967574579,0.48484848484848486,0.9315068493150684,0.9230769230769231,1.0,1.0,0.8415841584158416,No Data
Overall Accuracy,0.8800554016620499
