cpostag,Adj,Adv,Conj,Det,Dup,Interj,Noun,Num,Postp,Pron,Punc,Ques,Verb,Zero,Total,Precision
Adj,16,3,0,0,0,0,29,0,0,0,0,0,6,0,54,0.2962962962962963
Adv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Conj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Det,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Dup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Interj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Noun,101,28,0,0,0,0,745,12,1,2,0,0,50,0,939,0.7933972310969116
Num,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Postp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Pron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Punc,1,2,0,0,0,0,9,0,0,0,0,0,1,0,13,0.0
Ques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Verb,4,11,0,0,0,0,52,0,0,0,0,0,188,0,255,0.7372549019607844
Zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Total,122,44,0,0,0,0,835,12,1,2,0,0,245,0,1261.0
Recall,0.13114754098360656,0.0,No Data,No Data,No Data,No Data,0.8922155688622755,0.0,0.0,0.0,No Data,No Data,0.7673469387755102,No Data
Overall Accuracy,0.7525773195876289
