postag,AFutPart,APastPart,APresPart,Adj,Adv,Card,Conj,DemonsP,Det,Distrib,Dup,Interj,NFutPart,NInf,NPastPart,Noun,Num,Ord,PersP,Postp,Pron,Prop,Punc,Ques,QuesP,Range,Real,ReflexP,Verb,Zero,Total,Precision
AFutPart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
APastPart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
APresPart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Adj,1,0,2,7,3,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,4,0,0,0,0,0,0,4,3,35,0.2
Adv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Conj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
DemonsP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Det,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Distrib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Dup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Interj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
NFutPart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
NInf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
NPastPart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Noun,4,5,13,50,24,10,0,1,0,0,0,0,6,84,11,506,0,0,0,1,0,24,0,0,0,0,0,1,31,22,793,0.6380832282471627
Num,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Ord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
PersP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Postp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Pron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Prop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Punc,0,4,3,5,4,1,0,0,0,0,0,0,0,7,2,51,0,0,0,0,0,2,0,0,0,0,0,0,5,5,89,0.0
Ques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
QuesP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Real,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
ReflexP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Verb,1,3,6,10,13,0,0,0,0,0,0,0,4,18,6,72,0,1,0,0,0,12,0,0,0,0,0,0,161,36,343,0.46938775510204084
Zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data
Total,6,12,24,72,44,11,0,1,0,0,0,0,10,110,20,639,0,1,0,1,0,42,0,0,0,0,0,1,201,66,1261.0
Recall,0.0,0.0,0.0,0.09722222222222222,0.0,0.0,No Data,0.0,No Data,No Data,No Data,No Data,0.0,0.0,0.0,0.7918622848200313,No Data,0.0,No Data,0.0,No Data,0.0,No Data,No Data,No Data,No Data,No Data,0.0,0.8009950248756219,0.0
Overall Accuracy,0.5344964314036479
